,timestamp,item_id,spend,target_value
8414,1/1/2019 0:00,2.38433e+16,81.85,0
8149,1/1/2019 0:00,2.38433e+16,604.06,0
7830,1/1/2019 17:00,2.38433e+16,116.39,0
8150,1/1/2019 17:00,2.38433e+16,590.1,0
8415,1/1/2019 17:00,2.38433e+16,69.72,0
329502,1/10/2019 0:00,2.38433e+16,615.18,0
7847,1/10/2019 0:00,2.38433e+16,101.18,0
8167,1/10/2019 0:00,2.38433e+16,543.53,0
8432,1/10/2019 0:00,2.38433e+16,60.79,0
329503,1/10/2019 17:00,2.38433e+16,583.32,0
8168,1/10/2019 17:00,2.38433e+16,581.11,0
7848,1/10/2019 17:00,2.38433e+16,101.75,0
8433,1/10/2019 17:00,2.38433e+16,65.41,0
7849,1/11/2019 0:00,2.38433e+16,101.75,0
8169,1/11/2019 0:00,2.38433e+16,581.11,0
8434,1/11/2019 0:00,2.38433e+16,65.41,0
329504,1/11/2019 0:00,2.38433e+16,583.32,0
7850,1/11/2019 17:00,2.38433e+16,102.5,0
329505,1/11/2019 17:00,2.38433e+16,626.15,0
8435,1/11/2019 17:00,2.38433e+16,69.09,0
8170,1/11/2019 17:00,2.38433e+16,570.3,0
8436,1/12/2019 0:00,2.38433e+16,69.09,0
7851,1/12/2019 0:00,2.38433e+16,102.5,0
329506,1/12/2019 0:00,2.38433e+16,626.15,0
8171,1/12/2019 0:00,2.38433e+16,570.3,0
8172,1/12/2019 17:00,2.38433e+16,620.44,0
329507,1/12/2019 17:00,2.38433e+16,601.18,0
7852,1/12/2019 17:00,2.38433e+16,104.93,0
8437,1/12/2019 17:00,2.38433e+16,70.01,0
329508,1/13/2019 0:00,2.38433e+16,601.18,0
7853,1/13/2019 0:00,2.38433e+16,104.93,0
8173,1/13/2019 0:00,2.38433e+16,620.44,0
8438,1/13/2019 0:00,2.38433e+16,70.01,0
8174,1/13/2019 17:00,2.38433e+16,596.01,0
7854,1/13/2019 17:00,2.38433e+16,99.24,0
329509,1/13/2019 17:00,2.38433e+16,698.08,0
8439,1/13/2019 17:00,2.38433e+16,67.04,0
8440,1/14/2019 0:00,2.38433e+16,67.04,0
8175,1/14/2019 0:00,2.38433e+16,596.01,0
7855,1/14/2019 0:00,2.38433e+16,99.24,0
329510,1/14/2019 0:00,2.38433e+16,698.08,0
329511,1/14/2019 17:00,2.38433e+16,773.51,0
8441,1/14/2019 17:00,2.38433e+16,66.14,0
7856,1/14/2019 17:00,2.38433e+16,98.91,0
8176,1/14/2019 17:00,2.38433e+16,500.94,0
329512,1/15/2019 0:00,2.38433e+16,773.51,0
8442,1/15/2019 0:00,2.38433e+16,66.14,0
7857,1/15/2019 0:00,2.38433e+16,98.91,0
8177,1/15/2019 0:00,2.38433e+16,500.94,0
8178,1/15/2019 17:00,2.38433e+16,513.72,0
8443,1/15/2019 17:00,2.38433e+16,64.65,0
7858,1/15/2019 17:00,2.38433e+16,100.54,0
329513,1/15/2019 17:00,2.38433e+16,572.1,0
8444,1/16/2019 0:00,2.38433e+16,64.65,0
329514,1/16/2019 0:00,2.38433e+16,572.1,0
8179,1/16/2019 0:00,2.38433e+16,513.72,0
7859,1/16/2019 0:00,2.38433e+16,100.54,0
8180,1/16/2019 17:00,2.38433e+16,583.82,0
8445,1/16/2019 17:00,2.38433e+16,65.59,0
329515,1/16/2019 17:00,2.38433e+16,555.79,0
7860,1/16/2019 17:00,2.38433e+16,95.3,0
8446,1/17/2019 0:00,2.38433e+16,65.59,0
329516,1/17/2019 0:00,2.38433e+16,555.79,0
8181,1/17/2019 0:00,2.38433e+16,583.82,0
7861,1/17/2019 0:00,2.38433e+16,95.3,0
8182,1/17/2019 17:00,2.38433e+16,664.79,0
8447,1/17/2019 17:00,2.38433e+16,66.14,0
329517,1/17/2019 17:00,2.38433e+16,559.24,0
7862,1/17/2019 17:00,2.38433e+16,99.55,0
8448,1/18/2019 0:00,2.38433e+16,66.14,0
329518,1/18/2019 0:00,2.38433e+16,559.24,0
8183,1/18/2019 0:00,2.38433e+16,664.79,0
7863,1/18/2019 0:00,2.38433e+16,99.55,0
8449,1/18/2019 17:00,2.38433e+16,68.71,0
329519,1/18/2019 17:00,2.38433e+16,567.03,0
8184,1/18/2019 17:00,2.38433e+16,655.7,0
7864,1/18/2019 17:00,2.38433e+16,101.53,0
8185,1/19/2019 0:00,2.38433e+16,655.7,0
7865,1/19/2019 0:00,2.38433e+16,101.53,0
329520,1/19/2019 0:00,2.38433e+16,567.03,0
8450,1/19/2019 0:00,2.38433e+16,68.71,0
8186,1/19/2019 17:00,2.38433e+16,660.73,0
329521,1/19/2019 17:00,2.38433e+16,560.48,0
7866,1/19/2019 17:00,2.38433e+16,99.4,0
8451,1/19/2019 17:00,2.38433e+16,67.88,0
7831,1/2/2019 0:00,2.38433e+16,116.39,0
8416,1/2/2019 0:00,2.38433e+16,69.72,0
8151,1/2/2019 0:00,2.38433e+16,590.1,0
7832,1/2/2019 17:00,2.38433e+16,114.7,0
8152,1/2/2019 17:00,2.38433e+16,581.23,0
8417,1/2/2019 17:00,2.38433e+16,72.43,0
329522,1/20/2019 0:00,2.38433e+16,560.48,0
8187,1/20/2019 0:00,2.38433e+16,660.73,0
7867,1/20/2019 0:00,2.38433e+16,99.4,0
8452,1/20/2019 0:00,2.38433e+16,67.88,0
7868,1/20/2019 17:00,2.38433e+16,98.63,0
329523,1/20/2019 17:00,2.38433e+16,563.62,0
8188,1/20/2019 17:00,2.38433e+16,602.96,0
8453,1/20/2019 17:00,2.38433e+16,68.39,0
7869,1/21/2019 0:00,2.38433e+16,98.63,0
8454,1/21/2019 0:00,2.38433e+16,68.39,0
329524,1/21/2019 0:00,2.38433e+16,563.62,0
8189,1/21/2019 0:00,2.38433e+16,602.96,0
8190,1/21/2019 17:00,2.38433e+16,581.38,0
329525,1/21/2019 17:00,2.38433e+16,562.22,0
7870,1/21/2019 17:00,2.38433e+16,97.61,0
8455,1/21/2019 17:00,2.38433e+16,59.3,0
8456,1/22/2019 0:00,2.38433e+16,59.3,0
7871,1/22/2019 0:00,2.38433e+16,97.61,0
8191,1/22/2019 0:00,2.38433e+16,581.38,0
329526,1/22/2019 0:00,2.38433e+16,562.22,0
7872,1/22/2019 17:00,2.38433e+16,99.08,0
8192,1/22/2019 17:00,2.38433e+16,580.85,0
329527,1/22/2019 17:00,2.38433e+16,561.21,0
8457,1/22/2019 17:00,2.38433e+16,69.25,0
7873,1/23/2019 0:00,2.38433e+16,99.08,0
329528,1/23/2019 0:00,2.38433e+16,561.21,0
8193,1/23/2019 0:00,2.38433e+16,580.85,0
8458,1/23/2019 0:00,2.38433e+16,69.25,0
